Ward,Precinct,Total Votes,Pritzker,JBP%,Rauner,BR%,Jackson,GKJ%,McCann,SM%,Registered_Voters,Ballots Cast,Turnout %
44,10,652.00,472.00,72.39,159.00,24.39,17.00,2.61,4.00,0.61,900.00,658.00,73.11
44,11,711.00,508.00,71.45,185.00,26.02,14.00,1.97,4.00,0.56,879.00,716.00,81.46
44,12,669.00,523.00,78.18,137.00,20.48,3.00,0.45,6.00,0.90,783.00,676.00,86.33
44,13,533.00,355.00,66.60,166.00,31.14,8.00,1.50,4.00,0.75,717.00,542.00,75.59
44,14,597.00,450.00,75.38,129.00,21.61,14.00,2.35,4.00,0.67,768.00,603.00,78.52
44,15,575.00,461.00,80.17,99.00,17.22,11.00,1.91,4.00,0.70,785.00,585.00,74.52
44,16,739.00,518.00,70.09,196.00,26.52,21.00,2.84,4.00,0.54,896.00,747.00,83.37
44,17,853.00,684.00,80.19,150.00,17.58,15.00,1.76,4.00,0.47,"1,010.00",865.00,85.64
44,18,706.00,539.00,76.35,145.00,20.54,18.00,2.55,4.00,0.57,927.00,724.00,78.10
44,19,781.00,619.00,79.26,145.00,18.57,13.00,1.66,4.00,0.51,896.00,792.00,88.39
44,20,690.00,569.00,82.46,105.00,15.22,14.00,2.03,2.00,0.29,839.00,695.00,82.84
44,21,808.00,658.00,81.44,125.00,15.47,23.00,2.85,2.00,0.25,901.00,814.00,90.34
44,22,677.00,516.00,76.22,147.00,21.71,9.00,1.33,5.00,0.74,848.00,688.00,81.13
44,23,635.00,528.00,83.15,77.00,12.13,24.00,3.78,6.00,0.94,807.00,639.00,79.18
44,24,472.00,358.00,75.85,101.00,21.40,11.00,2.33,2.00,0.42,574.00,478.00,83.28
44,25,654.00,467.00,71.41,169.00,25.84,14.00,2.14,4.00,0.61,821.00,663.00,80.76
44,26,770.00,628.00,81.56,123.00,15.97,15.00,1.95,4.00,0.52,884.00,780.00,88.24
44,27,780.00,565.00,72.44,190.00,24.36,21.00,2.69,4.00,0.51,962.00,792.00,82.33
44,28,594.00,502.00,84.51,80.00,13.47,10.00,1.68,2.00,0.34,804.00,603.00,75.00
44,29,708.00,524.00,74.01,172.00,24.29,7.00,0.99,5.00,0.71,907.00,714.00,78.72
